StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Statement,Zip,Age,Student Stat,Vac1,Vac2,Vac3,Vac5,Vac5_8_TEXT,Gen1,Gen1_6_TEXT,Gen2,Gen2_6_TEXT,Gen3,Gen3_7_TEXT,Gen4,Gen5,Gen5_6_TEXT,Gen6,Gen6_9_TEXT,Gen7,Gen7_6_TEXT,Thank You,Thank you!,Thank you!_8_TEXT
5/22/25 16:38,5/23/25 10:58,IP Address,100,65996,True,5/23/25 10:58,R_1NOECURaxRZRUJx,qr,EN,I agree to take part in this study,97402,18 - 24,Yes,None,Somewhat agree,Somewhat disagree,"Limited clinic hours or scheduling conflicts,Too busy with work, school, or other responsibilities,Concerns about vaccine safety or side effects,Don't think it was necessary",,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,It's needed for school, work, or travel,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Cost or no insurance,No regular healthcare provider",,"Clear information on available services and locations,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication",,,"Paper flier or poster,Email or newsletter",
5/23/25 11:05,5/23/25 11:09,IP Address,100,218,True,5/23/25 11:09,R_7gLtZ4AbEu7svAd,qr,EN,I agree to take part in this study,97401,45 - 54,No,"Flu,COVID",Strongly agree,Strongly agree,,,"Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Long wait times (e.g. before or between visits),Cost or no insurance",,"Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,Universal free/low-cost health insurance a necessity. Severe MD shortage in Eugene,Paper flier or poster,
5/23/25 11:24,5/23/25 11:27,IP Address,100,148,True,5/23/25 11:27,R_5JKG6PiNjHQn7J3,anonymous,EN,I agree to take part in this study,97266,18 - 24,Yes,"Flu,COVID",Somewhat disagree,Somewhat disagree,,,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Long wait times (e.g. before or between visits),Unsure where to go",,"Clear information on available services and locations,Shorter wait times, more appointment availability, and easier scheduling,Better online resources and communication,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
5/23/25 12:05,5/23/25 12:08,IP Address,100,222,True,5/23/25 12:08,R_1SAfGvCX07nMS0T,anonymous,EN,I agree to take part in this study,97404,45 - 54,No,"Flu,COVID",Strongly agree,Strongly agree,,,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Clear information on available services and locations,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling",,"I think vaccines are important, and now I worry if even my existing immunity from vaccines will be ""enough"" if there's not a ""herd"" immunity. Do I need a booster for measles, for example? I cannot NOT work, and so I need to be smart and healthy, and keep up to date. I feel more vulnerable every year I age and at the same time, people seem to care less and less.",Email or newsletter,
5/23/25 12:29,5/23/25 12:34,IP Address,100,317,True,5/23/25 12:34,R_7zwDqJjMgVshOdl,anonymous,EN,I agree to take part in this study,97402,18 - 24,Yes,None,Somewhat agree,Strongly disagree,Uncertain where to go,,Healthcare Provider's office (off-campus),,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Every so often, for general health concerns (e.g., every 2-3 years)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites),Social media,Friends and family",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Unsure where to go",,"Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
5/23/25 12:36,5/23/25 12:42,IP Address,100,396,True,5/23/25 12:42,R_1opZIuFXmJTLqp2,anonymous,EN,I agree to take part in this study,97402,18 - 24,Yes,Flu,Strongly agree,Strongly agree,,,Pharmacy,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)",Healthcare Provider,,Not Applicable,,"Clear information on available services and locations,Better online resources and communication,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
5/23/25 12:54,5/23/25 12:58,IP Address,100,206,True,5/23/25 12:58,R_1dzsDlRuId3oJNs,anonymous,EN,I agree to take part in this study,97448,18 - 24,Yes,None,Somewhat disagree,Somewhat disagree,"Too busy with work, school, or other responsibilities,Don't think it was necessary,Other","Honestly forgot, or never saw it as necessary","Healthcare Provider's office (off-campus),Pharmacy",,"To protect myself,To protect my friends and family,To stop the spread of disease in my community",,Healthcare Provider's Office (off-campus),,"Only when the need arises (e.g., for illness or urgent issues)","Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits),Unsure where to go",,"Clear information on available services and locations,Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling,Affordable services or health insurance coverage",,,"Friend, family member, or colleague",
5/23/25 17:28,5/23/25 17:31,IP Address,100,222,True,5/23/25 17:31,R_5psLPjPQsvJPB2m,anonymous,EN,I agree to take part in this study,97404,18 - 24,Yes,None,Neither agree nor disagree,Neither agree nor disagree,"Too busy with work, school, or other responsibilities",,Healthcare Provider's office (off-campus),,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel,My healthcare provider suggested it",,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Scheduling conflicts (e.g., not open, no time off work/school)",,"Shorter wait times, more appointment availability, and easier scheduling",,,"Friend, family member, or colleague",
5/24/25 9:40,5/24/25 9:46,IP Address,100,359,True,5/24/25 9:46,R_66eWWZnMMj5g7hP,anonymous,EN,I agree to take part in this study,97405,18 - 24,Yes,Flu,Strongly agree,Strongly agree,Other,,Healthcare Provider's office (off-campus),,To protect myself,,Healthcare Provider's Office (off-campus),,"Regularly for routine check-ups (e.g., yearly or more)","Pamphlets or brochures,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,Not Applicable,,Not Applicable,,,"Friend, family member, or colleague",
5/24/25 22:47,5/24/25 22:50,IP Address,100,182,True,5/24/25 22:50,R_5eWsnpBKyCeLtW3,qr,EN,I agree to take part in this study,97403,18 - 24,Yes,"Flu,COVID",Strongly agree,Somewhat agree,,,Student health center,,"To protect myself,To protect my friends and family,To stop the spread of disease in my community,It's needed for school, work, or travel",,Student health center,,"Regularly for routine check-ups (e.g., yearly or more)","Pamphlets or brochures,Pharmacist,Healthcare Provider,Online sources (e.g. WebMD or other medical sites)",,"Scheduling conflicts (e.g., not open, no time off work/school),Long wait times (e.g. before or between visits)",,"Extended clinic hours,Shorter wait times, more appointment availability, and easier scheduling",,,"Social media (e.g., Facebook, Instagram, Twitter),School club or student organization",
